BasisId,ID,CPU,y,SubspaceId
1,1,0.001007227,129,1 constant_scale_shape
1,1,0.002784417,131,1 constant_scale_shape
1,1,0.003465359,105,1 constant_scale_shape
1,1,0.005992975,96,1 constant_scale_shape
1,1,0.010085913,97,1 constant_scale_shape
1,1,0.01390014,113,1 constant_scale_shape
1,1,0.017808135,113,1 constant_scale_shape
1,1,0.022006098,142,1 constant_scale_shape
1,1,0.025830963,111,1 constant_scale_shape
1,1,0.029870937,87,1 constant_scale_shape
1,1,0.034308585,135,1 constant_scale_shape
1,1,0.037774863,164,1 constant_scale_shape
1,1,0.04215266,124,1 constant_scale_shape
1,1,0.045922753,148,1 constant_scale_shape
1,1,0.049906917,178,1 constant_scale_shape
1,1,0.053711913,174,1 constant_scale_shape
1,1,0.057715965,155,1 constant_scale_shape
1,1,0.061596958,180,1 constant_scale_shape
1,1,0.067346472,172,1 constant_scale_shape
1,1,0.069929234,304,1 constant_scale_shape
1,1,0.074612978,186,1 constant_scale_shape
1,1,0.078823507,196,1 constant_scale_shape
1,1,0.082209193,203,1 constant_scale_shape
1,1,0.08566021,210,1 constant_scale_shape
1,1,0.090348484,190,1 constant_scale_shape
1,1,0.09367081,201,1 constant_scale_shape
1,1,0.09844272,231,1 constant_scale_shape
1,1,0.102187769,252,1 constant_scale_shape
1,1,0.105971956,272,1 constant_scale_shape
1,1,0.109563015,182,1 constant_scale_shape
1,1,0.11514761,334,1 constant_scale_shape
1,1,0.116885356,161,1 constant_scale_shape
1,1,0.122365549,263,1 constant_scale_shape
1,1,0.125949552,287,1 constant_scale_shape
1,1,0.130441336,362,1 constant_scale_shape
1,1,0.133162607,218,1 constant_scale_shape
1,1,0.139541566,225,1 constant_scale_shape
1,1,0.14294109,319,1 constant_scale_shape
1,1,0.147684691,244,1 constant_scale_shape
1,1,0.14914243,318,1 constant_scale_shape
1,1,0.15270396,138,1 constant_scale_shape
1,1,0.15712312,254,1 constant_scale_shape
1,1,0.164115517,196,1 constant_scale_shape
1,1,0.162822332,172,1 constant_scale_shape
1,1,0.171334115,468,1 constant_scale_shape
1,1,0.174281036,261,1 constant_scale_shape
1,1,0.177772689,175,1 constant_scale_shape
1,1,0.182639914,290,1 constant_scale_shape
1,1,0.183981031,257,1 constant_scale_shape
1,1,0.191661508,289,1 constant_scale_shape
1,1,0.194753465,327,1 constant_scale_shape
1,1,0.199100626,332,1 constant_scale_shape
1,1,0.201560111,275,1 constant_scale_shape
1,1,0.210069709,304,1 constant_scale_shape
1,1,0.210174287,301,1 constant_scale_shape
1,1,0.21512056,233,1 constant_scale_shape
1,1,0.218356183,195,1 constant_scale_shape
1,1,0.222589155,255,1 constant_scale_shape
1,1,0.226572717,340,1 constant_scale_shape
1,1,0.230351052,477,1 constant_scale_shape
1,1,0.231027761,388,1 constant_scale_shape
1,1,0.235386661,315,1 constant_scale_shape
